place_id,facility_name,facility_type,address,longitude,latitude,operation_status,public_access_verified,study_access_verified,reading_seats,source_name,source_url,source_record_id,source_reference_date,coordinate_status,source_tier,aggregation_eligible,notes,snapshot_date,coordinate_in_seoul,primary_purpose,activity_mode,economic_activity_required,study_suitability_evidence,evidence_strength,mandatory_purchase,large_cafe_floor_area_m2,wifi_verified,classification_rule,inside_reachable_area_count,reachable_area_count_400m,nearest_area_code,nearest_area_name,nearest_area_distance_m,reachable_by_user_input,reachability_rule
library:poi:01114,한내행복발전소,public_library,서울특별시 노원구 마들로3길 15,127.0619783,37.62650774,listed_in_standard_data,1,1,20.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01114,2026-04-08,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,2,3110420,광운대역 1번,333.724,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01115,한울작은도서관,public_library,서울특별시 노원구 한글비석로 487,127.0638188,37.66452106,listed_in_standard_data,1,1,20.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01115,2026-04-08,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,2,3110425,계상초등학교,245.23,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01298,해다올 작은도서관,public_library,서울특별시 용산구 신흥로90,126.9855699,37.54607528,listed_in_standard_data,1,1,20.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01298,2025-08-05,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,3,3110081,해방촌 남동측,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01116,해솔작은도서관,public_library,서울특별시 노원구 한글비석로 434,127.0693664,37.66297906,listed_in_standard_data,1,1,12.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01116,2026-04-08,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,5,3110428,상계5동주민센터,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01170,해오름도서관,public_library,"서울특별시 마포구 신촌로26길 10, 2층",126.9423681,37.5558481,listed_in_standard_data,1,1,20.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01170,2025-11-28,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,9,3110575,대흥동주민센터,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01228,해오름도서관,public_library,서울특별시 성북구 성북로4길 52,127.012706,37.594473,listed_in_standard_data,1,1,60.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01228,2026-07-29,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,8,3110296,성신여대입구역 4번,114.226,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01183,햇살작은도서관,public_library,"서울특별시 서대문구 세검정로1길 45, 홍은1동 자치회관 2층",126.9439056,37.59323535,listed_in_standard_data,1,1,25.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01183,2025-08-09,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,6,3110525,홍은종합사회복지관,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:00950,행복한도서관,public_library,서울특별시 강남구 영동대로65길 24 (대치2문화센터 3층),127.0641877,37.50230433,listed_in_standard_data,1,1,88.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:00950,2025-12-26,valid_wgs84,official_standard_data,1,공공도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,2,3120223,휘문고교사거리,100.961,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01387,혜화마을 북카페,public_library,서울특별시 종로구 혜화로 12(혜화동 자치회관 4층),127.0005661,37.5868552,listed_in_standard_data,1,1,16.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01387,2025-12-02,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,7,3110024,혜회동주민센터,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01388,홍파랑 북카페,public_library,서울특별시 종로구 송월길 154(교남동 주민센터 2층),126.9619608,37.5719142,listed_in_standard_data,1,1,10.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01388,2025-12-02,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,5,3130182,영천시장,94.777,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
