quarter,area_code,purpose,area_name,area_type_name,primary_admin_name,primary_district_name,ratio_08,ratio_14,ratio_19,minimum_period_ratio,mean_period_ratio,access_tier,purpose_store_count,purpose_sales_amount,purpose_time_fit_amount,purpose_store_share,purpose_sales_share,purpose_time_fit_share,store_count_percentile,store_share_percentile,sales_amount_percentile,sales_share_percentile,time_fit_percentile,purpose_supply_score,current_sales_signal,access_score,lagged_sales_signal,path_v0_score,purpose_rank
20254,3130327,쇼핑,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",전통시장,신당동,중구,0.9910179640718564,0.994011976047904,1.0,0.9910179640718564,0.9950099800399202,core_80pct_all_periods,2533.0,20285980909.0,7873542718.0,0.994503337259521,1.0,0.38812728619432224,99.61832061068702,99.74554707379136,91.6030534351145,98.85496183206108,25.954198473282442,99.66284987277353,77.00381679389312,85.31806615776082,77.71946564885496,93.07983460559795,12.0
20254,3120153,쇼핑,노량진역(노량진),발달상권,노량진1동,동작구,0.3263473053892216,0.2544910179640718,0.3083832335329341,0.2544910179640718,0.2964071856287425,exploration_25pct_all_periods,1012.0,1205831510002.0,713064064207.0,0.6778298727394507,0.9584100256189806,0.591346351702003,98.21882951653944,86.25954198473282,100.0,94.91094147582697,77.2264631043257,94.03307888040713,93.03435114503817,0.45801526717557256,90.77608142493638,93.05597964376591,13.0
20254,3001492,쇼핑,명동 남대문 북창동 다동 무교동 관광특구,관광특구,명동,중구,0.937125748502994,0.9610778443113772,0.9760479041916168,0.937125748502994,0.9580838323353292,core_80pct_all_periods,5342.0,291405230501.0,162835059729.0,0.7652198825383183,0.5769309034625328,0.5587925084565056,99.87277353689568,91.34860050890585,99.87277353689568,69.59287531806616,67.17557251908397,96.88931297709924,84.12849872773538,64.70737913486005,83.17430025445293,92.77480916030535,14.0
20254,3120027,쇼핑,명동역(명동재미로),발달상권,명동,중구,0.8473053892215568,0.8353293413173652,0.8532934131736527,0.8353293413173652,0.8453093812375249,core_80pct_all_periods,507.0,26655737110.0,17642459422.0,0.7647058823529411,0.7822514519330932,0.6618634986230174,95.29262086513995,91.22137404580153,93.25699745547074,84.60559796437659,88.93129770992367,93.8676844783715,90.01272264631044,52.62086513994911,89.63104325699746,92.59669211195929,15.0
20254,3130025,쇼핑,삼익패션타운(남대문시장),전통시장,회현동,중구,0.8173652694610778,0.7994011976047904,0.8233532934131736,0.7994011976047904,0.813373253493014,base_50pct_all_periods,574.0,11738924942.0,6152753649.0,0.9930795847750865,0.99654016792307,0.5241326338995856,96.31043256997455,99.36386768447836,87.78625954198473,96.94656488549617,57.25190839694656,97.3791348600509,82.44274809160305,49.82188295165395,81.21819338422392,92.5308524173028,16.0
20254,3120039,쇼핑,신당역,발달상권,신당동,중구,0.9910179640718564,0.9880239520958084,0.994011976047904,0.9880239520958084,0.9910179640718564,core_80pct_all_periods,2228.0,27714501863.0,11242599721.0,0.8827258320126783,0.6400137896766744,0.4056576508780529,99.23664122137404,96.18320610687023,93.38422391857506,75.44529262086515,28.498727735368956,98.16793893129771,72.67811704834605,82.39185750636132,78.21246819338424,92.18129770992365,17.0
20254,3120222,쇼핑,삼성역,발달상권,대치2동,강남구,0.3323353293413174,0.3233532934131736,0.3413173652694611,0.3233532934131736,0.3323353293413174,exploration_25pct_all_periods,683.0,62369664641.0,42067039483.0,0.6898989898989899,0.5445656066287264,0.6744791674789021,96.81933842239185,87.1501272264631,97.58269720101781,66.03053435114504,90.07633587786259,93.43511450381678,87.8180661577608,4.338422391857506,87.27735368956743,91.58778625954197,18.0
20254,3120083,쇼핑,등나무근린공원,발달상권,중계2·3동,노원구,0.940119760479042,0.9191616766467066,0.9221556886227544,0.9191616766467066,0.9271457085828344,core_80pct_all_periods,382.0,33413432091.0,18872456362.0,0.7974947807933194,0.8136945078708158,0.5648164579622261,93.63867684478372,93.25699745547074,94.65648854961832,87.27735368956743,69.08396946564885,93.50508905852418,86.41857506361323,61.84478371501272,86.99109414758269,91.55089058524173,19.0
20254,3001495,쇼핑,잠실 관광특구,관광특구,오륜동,송파구,0.6796407185628742,0.6646706586826348,0.6976047904191617,0.6646706586826348,0.6806387225548902,base_50pct_all_periods,1324.0,262192557755.0,177888918651.0,0.566538296961917,0.7266926745685142,0.6784666970495187,98.60050890585241,74.55470737913485,99.74554707379136,80.91603053435115,90.33078880407125,90.18447837150126,92.68447837150127,38.81679389312977,93.8613231552163,91.28753180661576,20.0
20254,3120003,식사,광화문역,발달상권,사직동,종로구,0.9011976047904192,0.9131736526946108,0.934131736526946,0.9011976047904192,0.9161676646706588,core_80pct_all_periods,464.0,48994673627.0,36702306914.0,0.47638603696098564,0.7041003201397702,0.7491081008808697,98.60050890585241,91.22137404580153,98.60050890585241,81.04325699745547,82.95165394402035,96.0178117048346,90.29898218829516,58.66412213740458,90.17175572519085,94.26399491094146,1.0
20254,3120006,식사,종각역,발달상권,종로1·2·3·4가동,종로구,0.94311377245509,0.9640718562874252,0.9760479041916168,0.94311377245509,0.9610778443113772,core_80pct_all_periods,552.0,76041608428.0,48450806436.0,0.4986449864498645,0.7305259982298306,0.6371617781056755,98.9821882951654,92.49363867684478,99.49109414758269,83.07888040712467,47.96437659033079,96.71119592875317,82.50636132315522,65.40712468193384,82.41094147582697,92.4211195928753,2.0
