area_code,time_slot,purpose,inflow_count,source_row_count,time_slot_inflow_total,purpose_share,source_period
3110004,daytime,commute,11766.46593776724,93,129175.74259763953,0.09108881978265672,20260801-20260831
3110004,daytime,hospital,1547.0252614341005,31,129175.74259763953,0.01197612826003115,20260801-20260831
3110004,daytime,other,81569.49616415934,93,129175.74259763953,0.6314614069472351,20260801-20260831
3110004,daytime,return_home,32328.437650431566,93,129175.74259763953,0.25026709349857695,20260801-20260831
3110004,daytime,school,1964.317583847293,93,129175.74259763953,0.015206551511500176,20260801-20260831
3110004,evening,commute,991.2418453890931,93,81106.278532378,0.012221518029499836,20260801-20260831
3110004,evening,hospital,123.10887400109883,25,81106.278532378,0.0015178710727302475,20260802-20260831
3110004,evening,other,27540.243792403748,93,81106.278532378,0.3395574829809206,20260801-20260831
3110004,evening,return_home,52182.51034128732,93,81106.278532378,0.6433843505771976,20260801-20260831
3110004,evening,school,269.17367929673577,80,81106.278532378,0.0033187773396517067,20260801-20260831
3110004,morning,commute,32466.994519588236,93,75232.91912708533,0.4315530341810102,20260801-20260831
3110004,morning,hospital,789.1924655298963,30,75232.91912708533,0.010489988620497,20260802-20260831
3110004,morning,other,33320.24028773531,93,75232.91912708533,0.4428944227386674,20260801-20260831
3110004,morning,return_home,4635.5474949706,93,75232.91912708533,0.061615946167662555,20260801-20260831
3110004,morning,school,4020.9443592612856,93,75232.91912708533,0.05344660829216271,20260801-20260831
3110004,night,commute,574.5117259407394,92,23886.02562075541,0.024052210906176288,20260801-20260831
3110004,night,hospital,2.530217792135237,2,23886.02562075541,0.0001059287900091944,20260812-20260816
3110004,night,other,7640.029122331758,93,23886.02562075541,0.31985350948016517,20260801-20260831
3110004,night,return_home,15606.695430454249,93,23886.02562075541,0.6533818425151919,20260801-20260831
3110004,night,school,62.259124236526446,52,23886.02562075541,0.002606508308457448,20260801-20260830
3110007,daytime,commute,19375.36471743976,62,167885.8286416211,0.11540798216387604,20260801-20260831
3110007,daytime,hospital,777.0733081706608,31,167885.8286416211,0.004628581902701549,20260801-20260831
3110007,daytime,other,123759.06603270519,62,167885.8286416211,0.7371620763589791,20260801-20260831
3110007,daytime,return_home,22654.95498865008,62,167885.8286416211,0.13494262840379856,20260801-20260831
3110007,daytime,school,1319.3695946554271,62,167885.8286416211,0.007858731170644728,20260801-20260831
3110007,evening,commute,1293.0129347409004,62,84360.31678569528,0.015327265046024018,20260801-20260831
3110007,evening,hospital,61.83778789527802,25,84360.31678569528,0.0007330198635025001,20260802-20260831
3110007,evening,other,47541.20362071464,62,84360.31678569528,0.5635493728821092,20260801-20260831
3110007,evening,return_home,35284.379248059726,62,84360.31678569528,0.41825802216573454,20260801-20260831
