area_code,area_name,area_type_name,evaluated_quarters,above_expected_quarters,below_expected_quarters,mean_residual_z,mean_actual_to_expected_log_gap,persistent_gap
3110968,강남구청역 2번,골목상권,4,0,0,-0.01734081330645322,-0.05371733908392251,not_persistent
3120246,길동역,발달상권,4,0,0,-0.01760497282779134,-0.044137203450778095,not_persistent
3120017,동묘앞역(동묘),발달상권,4,0,0,-0.019061396890251468,-0.047572663040050145,not_persistent
3130100,답십리시장,전통시장,4,0,0,-0.020063238488690096,-0.046402586921978184,not_persistent
3110368,송천초등학교,골목상권,4,0,0,-0.02192602159492038,-0.05508137709397598,not_persistent
3120055,군자역,발달상권,4,0,0,-0.02215013522561998,-0.05476105191203473,not_persistent
3110566,경의선책거리,골목상권,4,0,0,-0.025112494864979712,-0.06145586267647918,not_persistent
3110156,군자역 5번,골목상권,4,0,0,-0.025839525402311873,-0.06658500236114318,not_persistent
3110154,광진정말공원,골목상권,4,0,0,-0.028600577637474072,-0.06738466993334402,not_persistent
3111051,천호역 6번,골목상권,4,0,0,-0.029576497920869464,-0.06638668582338969,not_persistent
3110285,홍대부중,골목상권,4,0,0,-0.030181886515826494,-0.07736700771420768,not_persistent
3110066,서울역 15번,골목상권,4,0,0,-0.030812906261727883,-0.07329203610155677,not_persistent
3110113,응봉산,골목상권,4,0,0,-0.030933175091515965,-0.0766170734552416,not_persistent
3130319,성내전통시장,전통시장,4,0,0,-0.031036606613273503,-0.07080446081587422,not_persistent
3110366,광산사거리,골목상권,4,0,0,-0.031131799421845074,-0.07240967066832305,not_persistent
3120238,방이역,발달상권,4,0,0,-0.031239348047768782,-0.07531358072852967,not_persistent
3111052,암사역 3번(천호동자전거거리),골목상권,4,0,0,-0.033698962340526654,-0.08425287778404034,not_persistent
3110302,보문역 8번,골목상권,4,0,0,-0.03493187426232609,-0.08127766221952637,not_persistent
3120230,송파사거리(송파역),발달상권,4,0,0,-0.03548747708170031,-0.08328815232616016,not_persistent
3120075,월곡역,발달상권,4,0,0,-0.03581489905073177,-0.08556529170939431,not_persistent
3120015,종로6가,발달상권,4,0,0,-0.03623423236438139,-0.086973991154494,not_persistent
3110188,용두동신동아아파트,골목상권,4,0,0,-0.038341297200813924,-0.07559758635080271,not_persistent
3120042,"숙대입구역(남영역, 남영동)",발달상권,4,0,0,-0.038385006944610396,-0.09048098954710504,not_persistent
3110325,장곡초등학교,골목상권,4,0,0,-0.03969382116869816,-0.09464909114976816,not_persistent
