area_code,area_name,area_type_name,admin_code,admin_name,district_name,overlap_m2,area_m2,overlap_share
3111053,성내천어린이공원(하니사랑길),골목상권,11710566,오륜동,송파구,7530.214141619681,139845.23291300863,0.05384677035293642
3111053,성내천어린이공원(하니사랑길),골목상권,11740660,성내3동,강동구,6.251546549669676,139845.23291300863,4.470332251910567e-05
3111054,암사역 4번(삼성광나루아파트),골목상권,11740580,암사2동,강동구,15537.970487035675,15537.970487035675,1.0
3111055,선사초등학교,골목상권,11740580,암사2동,강동구,11025.995493272103,11025.995493272101,1.0000000000000002
3111056,천호태영아파트,골목상권,11740620,천호3동,강동구,31478.108680875306,31984.880179925927,0.9841559044085875
3111056,천호태영아파트,골목상권,11740650,성내2동,강동구,506.77149905075544,31984.880179925927,0.01584409559141669
3111057,천호공원(해공체육문화센터),골목상권,11740610,천호2동,강동구,114407.60698749851,116160.94136845654,0.9849059902553945
3111057,천호공원(해공체육문화센터),골목상권,11740620,천호3동,강동구,1501.6004494977442,116160.94136845654,0.012926896354384257
3111057,천호공원(해공체육문화센터),골목상권,11740600,천호1동,강동구,251.73393146055315,116160.94136845654,0.0021671133902235354
3111058,성내중학교,골목상권,11740640,성내1동,강동구,39694.27126540687,39694.35408107488,0.9999979136663152
3111058,성내중학교,골목상권,11740650,성내2동,강동구,0.08281566774449861,39694.35408107488,2.0863336779671324e-06
3111059,강동역 4번(강풀만화거리),골목상권,11740650,성내2동,강동구,281539.61772180675,282300.3360004618,0.9973052873778592
3111059,강동역 4번(강풀만화거리),골목상권,11740640,성내1동,강동구,760.4948402579171,282300.3360004618,0.002693921130354847
3111059,강동역 4번(강풀만화거리),골목상권,11740660,성내3동,강동구,0.22333912809536116,282300.3360004618,7.911401426564219e-07
3111059,강동역 4번(강풀만화거리),골목상권,11740685,길동,강동구,9.926920647481338e-05,282300.3360004618,3.5164395438286337e-10
3111060,암사역 2번(서울강동초등학교),골목상권,11740610,천호2동,강동구,217703.68964827637,219220.75350994413,0.9930797434212864
3111060,암사역 2번(서울강동초등학교),골목상권,11740600,천호1동,강동구,762.5924747760569,219220.75350994413,0.0034786509149621397
3111060,암사역 2번(서울강동초등학교),골목상권,11740580,암사2동,강동구,754.4713868913275,219220.75350994413,0.0034416056637498224
3111061,암사역 1번,골목상권,11740570,암사1동,강동구,174976.15753047445,175331.32077033338,0.9979743308936562
3111061,암사역 1번,골목상권,11740610,천호2동,강동구,223.4258444321015,175331.32077033338,0.001274306515518509
3111061,암사역 1번,골목상권,11740580,암사2동,강동구,131.53572420185532,175331.32077033338,0.0007502123615104346
3111061,암사역 1번,골목상권,11740590,암사3동,강동구,0.20167122570981502,175331.32077033338,1.1502293191185407e-06
3111062,둔촌동역 3번(성내3동주민센터),골목상권,11740660,성내3동,강동구,103795.40267601887,106811.0282344332,0.9717667210187744
3111062,둔촌동역 3번(성내3동주민센터),골목상권,11710566,오륜동,송파구,3015.6255584140067,106811.0282344332,0.028233278981222697
