area_code,study_room_store_count,minimum_period_ratio,cafe_store_count_2025,area_km2,study_cafe_inside_count,starbucks_inside_count,poi_public_library_inside_count,poi_reading_room_inside_count,poi_university_learning_facility_inside_count,poi_youth_space_inside_count,study_public_inside_count,study_public_nearby_only_count,study_room_per_km2,cafe_store_per_km2_2025,study_cafe_per_km2,starbucks_per_km2,study_public_inside_per_km2,study_public_nearby_only_per_km2,study_room_percentile,cafe_supply_percentile,study_cafe_percentile,starbucks_percentile,study_public_inside_percentile,study_public_nearby_only_percentile,study_public_percentile,access_percentile,study_stay_current_score,study_stay_current_rank,poi_snapshot_date,public_facility_snapshot_date,historical_2025_use_allowed,poi_source
3130123,0.0,0.5868263473053892,4.0,0.012751997219515247,0.0,0.0,0,0,0,0,0,1,0.0,313.6763544677165,0.0,0.0,0.0,78.41908861692913,27.417302798982192,94.78371501272265,37.02290076335878,40.903307888040715,0.0,86.88212927756655,17.37642585551331,30.216284987277355,40.02426735939783,401,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120016,0.0,0.9880239520958084,7.0,0.058743364618914294,0.0,0.0,0,0,0,0,0,2,0.0,119.16239468765681,0.0,0.0,0.0,34.04639848218766,27.417302798982192,66.41221374045801,37.02290076335878,40.903307888040715,0.0,62.3574144486692,12.471482889733842,82.44274809160305,40.01019988583481,402,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110149,0.0,0.9221556886227544,3.0,0.0459213861440778,0.0,1.0,0,0,0,0,0,2,0.0,65.32903842639976,0.0,21.776346142133253,0.0,43.552692284266506,27.417302798982192,38.54961832061068,37.02290076335878,97.96437659033079,0.0,71.67300380228137,14.334600760456276,62.913486005089055,39.9566148085798,403,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110585,0.0,0.5269461077844312,2.0,0.018202182206165422,0.0,1.0,0,0,0,0,0,1,0.0,109.87693548757919,0.0,54.938467743789595,0.0,54.938467743789595,27.417302798982192,63.231552162849866,37.02290076335878,99.74554707379136,0.0,78.51711026615969,15.70342205323194,20.928753180661577,39.91231290937412,404,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110961,1.0,0.5359281437125748,7.0,0.06298350528930283,0.0,0.0,0,0,0,0,0,1,15.877172847187355,111.14020993031149,0.0,0.0,0.0,15.877172847187355,76.33587786259542,63.48600508905853,37.02290076335878,40.903307888040715,0.0,35.361216730038024,7.072243346007605,22.83715012722646,39.868647142483965,405,2026-09-18,2026-09-21,False,Kakao Local keyword search
3130194,1.0,0.3473053892215569,7.0,0.05415753427953347,0.0,0.0,0,0,0,0,0,1,18.464651563317336,129.25256094322137,0.0,0.0,0.0,18.464651563317336,79.26208651399492,69.3384223918575,37.02290076335878,40.903307888040715,0.0,38.97338403041825,7.79467680608365,7.124681933842239,39.75868090829053,406,2026-09-18,2026-09-21,False,Kakao Local keyword search
3130151,0.0,0.6197604790419161,2.0,0.008478993762514585,0.0,0.0,0,0,0,0,0,1,0.0,235.8770457930927,0.0,0.0,0.0,117.93852289654635,27.417302798982192,89.31297709923665,37.02290076335878,40.903307888040715,0.0,91.82509505703422,18.365019011406844,33.651399491094146,39.74488675393531,407,2026-09-18,2026-09-21,False,Kakao Local keyword search
3130198,1.0,0.5359281437125748,2.0,0.027650359407951856,0.0,0.0,0,0,0,0,0,1,36.165895178650516,72.33179035730103,0.0,0.0,0.0,36.165895178650516,88.16793893129771,42.62086513994911,37.02290076335878,40.903307888040715,0.0,65.39923954372624,13.079847908745249,22.83715012722646,39.71520622297042,408,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120196,2.0,0.6137724550898204,14.0,0.18533920108593727,0.0,0.0,1,0,0,0,1,1,10.791025256835162,75.53717679784614,0.0,0.0,5.395512628417581,5.395512628417581,68.19338422391857,45.16539440203562,37.02290076335878,40.903307888040715,24.324324324324326,6.653992395437262,20.790257938546915,33.20610687022901,39.679680086437116,409,2026-09-18,2026-09-21,False,Kakao Local keyword search
3130004,0.0,0.94311377245509,1.0,0.008682317237908495,0.0,0.0,0,0,0,0,0,2,0.0,115.17662538680658,0.0,0.0,0.0,230.35325077361315,27.417302798982192,65.01272264631042,37.02290076335878,40.903307888040715,0.0,97.52851711026615,19.50570342205323,65.45801526717557,39.508647045733795,410,2026-09-18,2026-09-21,False,Kakao Local keyword search
