area_code,area_name,primary_district_name,minimum_period_ratio,access_tier,study_stay_current_score,study_stay_current_rank,study_public_inside_count,study_public_nearby_only_count,study_cafe_inside_count,movement_inflow_commute,movement_inflow_hospital,movement_inflow_other,movement_inflow_return_home,movement_inflow_school,movement_inflow_shopping,movement_inflow_tourism,movement_inflow_total,movement_school_share,movement_nonroutine_share,movement_commute_return_share,integration_segment,study_score_q75,movement_school_share_q75,movement_context_usage
3110169,성동초등학교,광진구,0.8413173652694611,core_80pct_all_periods,38.44872241411005,439,0,3,0.0,38089.94836654549,0.0,124040.44019725497,116459.17680108277,4472.531645240029,0.0,0.0,283062.09701012325,0.01580053172954511,0.45400982045963906,0.545990179540361,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110366,광산사거리,강북구,0.5329341317365269,base_50pct_all_periods,38.410225524627755,440,0,1,0.0,87233.5143893093,0.0,390374.53844831046,452069.887717162,4047.95074419976,0.0,0.0,933725.8912989816,0.0043352666793552526,0.4224178561052829,0.5775821438947171,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3111051,천호역 6번,강동구,0.7245508982035929,base_50pct_all_periods,38.396946564885496,441,0,0,0.0,43679.20403964744,0.0,192520.59173502715,156800.76373813458,826.4214999031235,0.0,0.0,393826.9810127123,0.0020984379937047724,0.4909440504501373,0.5090559495498628,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3130140,숭인시장,강북구,0.6137724550898204,base_50pct_all_periods,38.37159802242668,442,0,2,0.0,19875.84515225885,0.0,82513.06206297377,81899.11640351667,4137.490237601066,1314.4683733295356,0.0,189739.98222967988,0.02180610638295856,0.4566805123639387,0.5363917523328169,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110018,중앙고등학교,종로구,0.7485029940119761,base_50pct_all_periods,38.32442264340793,443,0,1,0.0,64304.44491442823,0.0,127113.14944665322,28330.831406770594,6710.02208798717,0.0,0.195134914531613,226458.64299075375,0.029630231813502207,0.5909395415524895,0.4090604584475105,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3120216,경기고교사거리(경기고교앞사거리),강남구,0.7395209580838323,base_50pct_all_periods,38.2824427480916,444,0,0,0.0,112631.63744369772,0.0,280988.9828249793,71330.11565877516,7588.096232458277,6309.241022107406,1691.0469010332586,480539.1200830511,0.01579079811680438,0.6040468170589401,0.3828236774368733,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110176,해오름공원,광진구,0.7784431137724551,base_50pct_all_periods,38.26478865450073,445,1,6,0.0,20845.95568998544,0.0,97474.03057134897,114762.74852295106,6662.839887220169,0.0,0.0,239745.57467150566,0.027791294568625308,0.4343640986961085,0.5656359013038914,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110249,중화역 1번,중랑구,1.0,core_80pct_all_periods,38.13870103232423,446,0,1,0.0,31336.557178132563,0.0,116970.90099436628,172382.74857397407,7921.651654924196,0.0,0.0,328611.8584013971,0.024106408373272863,0.38006100344904503,0.619938996550955,demand_signal_feature_gap,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110402,도봉구 정병원,도봉구,0.5359281437125748,base_50pct_all_periods,38.05195967453245,447,0,3,0.0,38617.076653313066,0.0,152100.73336732207,136801.91132821422,4282.914962066434,0.0,0.0,331802.6363109158,0.012908019688104969,0.471315267618456,0.528684732381544,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3120017,동묘앞역(동묘),종로구,0.9850299401197604,core_80pct_all_periods,38.01778026103194,448,0,2,0.0,12893.894978321832,0.0,53327.36121193833,11919.936783294917,468.7969057589656,0.0,2012.465698217959,80622.455577532,0.0058147187703572085,0.6922218309543539,0.30777816904564625,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
